Dark Green;Ciemny Zielony;Głęboka, nasycona zieleń kojarzona z lasem i naturą. Symbolizuje stabilność, spokój, dojrzałość i ekologię.;#006400;0;100;0
Dark Khaki;Ciemny Khaki;Zgaszony odcień beżowo-zielony, nawiązujący do koloru mundurów wojskowych. Kojarzony z ziemistymi tonam.;#bdb76b;189;183;107
Dark Magenta;Ciemny Magentowy;Nasycony, głęboki różowofioletowy odcień, Wyrazisty, nowoczesny akcent;#8b008b;139;0;139
Dark Olive Green;Ciemny Oliwkowy;Zieleń o wyraźnych nutach oliwkowych, często używana w kamuflażowych wzorach.;#556b2f;85;107;47
Dark Orange;Ciemny Pomarańczowy;Odcień przypominający wypalony, jesienny liść, zachodzące słońce i ognień.;#ff8c00;255;140;0
Dark Orchid;Ciemny Orchideowy;Głęboki, tajemniczy fiolet inspirowany płatkami orchidei. Elegancki i luksusowy.;#9932cc;153;50;204
Dark Red;Ciemny Czerwony;Głęboka, intensywna czerwień, symbolizująca siłę, pasję i głębokie emocje.;#8b0000;139;0;0
Dark Salmon;Ciemny Łososiowy;Stonowana wersja różowo-pomarańczowego odcienia, nawiązująca do barwy rybich łusek.;#e9967a;233;150;122
Dark Seagreen;Ciemny Morski;Kolor inspirowany głębokimi wodami oceanu, łączący zieleń i błękit. Kojarzony ze spokojem, relaksem i naturą.;#8fbc8f;143;188;143
Dark Slate Blue;Ciemny Łupkowy Błękit;Głęboki niebieskofioletowy kolor z nutą szarości, kolor mokrych skał.;#483d8b;72;61;139
Dark Slate Gray;Ciemna Łupkowa Szarość;Zgaszony, ciemnoszary odcień inspirowany kamieniami i skałami. ;#2f4f4f;47;79;79
Dark Turquoise;Ciemny Turkusowy;Głęboki odcień turkusu, przywołujący na myśl tropikalne wody o zmierzchu.;#00ced1;0;206;209
Dark Violet;Ciemny Fioletowy;Głęboka, królewska purpura, symbol luksusu, tajemniczości i kreatywności.;#9400d3;148;0;211
Deep Pink;Intensywny Różowy;Mocny, jaskrawy różowy odcień kojarzony z energią, zabawą i ekstrawagancją.;#ff1493;255;20;147
Deep Sky Blue;Intensywny Błękitny;Bardzo jasny i wyrazisty błękit, kolor letniego nieba w pełnym słońcu.;#00bfff;0;191;255
Dim Gray;Przygaszony Szary;Subtelna, średnia szarość, nadająca się do nowoczesnych aranżacji i projektów. Neutralna i elegancka.;#696969;105;105;105
Dodger Blue;Niebieski Dodgersów;Wyrazisty, chłodny błękit kojarzony z drużyną baseballową Dodgers. Jaskrawy, sportowy i dynamiczny.;#1e90ff;30;144;255
Firebrick;Ceglasty;Kolor inspirowany wypalonymi cegłami – ciepły, lekko brunatny odcień czerwieni. Klasyczny i ponadczasowy.;#b22222;178;34;34
Floral White;Kwiatowy Biały;Kremowa, delikatna biel z subtelnym ciepłym tonem, przypominająca płatki kwiatów.;#fffaf0;255;250;240
Forest Green;Leśny Zielony;Głęboka, nasycona zieleń inspirowana kolorami lasu. Kojarzy się z naturą, spokojem i stabilnością.;#228b22;34;139;34
Fuchsia;Fuksja;Mocny różowofioletowy odcień, podkreśla ekstrawagancję i nowoczesność.;#ff00ff;255;0;255
Gainsboro;Gainsboro;Subtelna, pastelowa szarość, delikatna i neutralna.;#dcdcdc;220;220;220
Ghost White;Widmowy Biały;Biel o delikatnym, niebieskawym odcieniu, nadająca lekkość i chłodny ton w projektach.;#f8f8ff;248;248;155
Gold;Złoty;Symbol luksusu, prestiżu i bogatctwa, głęboki odcień żółci z metalicznym akcentem.;#ffd700;255;215;0
Goldenrod;Złocisty;Ciepły, nasycony odcień złota inspirowany jesiennymi polami traw. Naturalny i przyjazny.;#daa520;218;165;32
Gray;Szary;W zależności od kontekstu może być postrzegany jako chłodny i formalny lub przytulny i uspokajający.;#808080;128;128;128
Green;Zielony;Kolor natury, spokoju i harmonii. Zielony jest często kojarzony z ekologią, zdrowiem oraz wzrostem.;#008000;0;128;0
Green Yellow;Żółtozielony;Jaskrawa mieszanka zieleni i żółci, która dodaje energii i świeżości. Kojarzony z wiosną, młodością i cytrusami.;#adff2f;173;255;47
Honeydew;Miodowy;Bardzo jasna, pastelowa zieleń, z delikatnym mlecznym odcieniem. Kojarzy się z lekkością i delikatnością natury.;#f0fff0;240;255;240
Hot Pink;Intensywny Różowy;Jaskrawy, energetyczny róż, często stosowany w modzie i popkulturze jako odważny akcent. ;#ff69b4;255;105;180
Indian Red;Indyjski Czerwony;Ciepły, ziemisty odcień czerwieni z domieszką brązu. Kojarzy się z tradycyjnymi barwnikami i naturą.;#cd5c5c;205;92;92
Indigo;Indygo;Głęboki, nasycony odcień granatu, z domieszką fioletu. Elegancki, tajemniczy i klasyczny.;#4b0082;75;0;130
Ivory;Kość Słoniowa;Ciepły, lekko kremowy odcień bieli. Kojarzony z luksusem, delikatnością i tradycją.;#fffff0;255;255;240
Khaki;Khaki;Kolor inspirowany barwami mundurów wojskowych, zgaszona mieszanka beżu i zieleni. Kojarzy się z praktycznością i safari.;#f0e68c;240;230;140
Lavender;Lawendowy;Delikatny odcień fioletu, przywołujący na myśl lawendowe pola Prowansji. Kojarzony z romantyzmem.;#e6e6fa;230;230;250
Lavender Blush;Lawendowy rumieniec;Bardzo jasny odcień lawendy z subtelną nutą różu. Kobiecy, delikatny i elegancki.;#fff0f5;255;240;245
Lawn Green;Trawiasty Zielony;Bardzo intensywny, jaskrawy odcień zieleni przypominający świeżo skoszoną trawę.;#7cfc00;124;252;0
Lemon Chiffon;Cytrynowy;Delikatny, pastelowy żółty odcień, przypominający puszyste desery cytrynowe.;#fffacd;255;250;205
Light Blue;Jasnoniebieski;Pastelowy błękit, kojarzony z niebem o świcie i spokojem. Często stosowany w projektowaniu wnętrz i odzieży dziecięcej.;#add8e6;173;216;230
Light Coral;Jasny Koralowy;Ciepły, pastelowy różowopomarańczowy kolor, inspirowany barwą koralowców. Przyjazny i harmonijny.;#f08080;240;128;128
Light Cyan;Jasny Cyjanowy;Chłodny, pastelowy odcień błękitu, przypominający wodę w lagunie. Kojarzony ze świeżością i lekkością.;#e0ffff;224;255;255
Light Goldenrod Yellow;Jasnozłocisty Żółty;Jasny, ciepły żółty odcień, nawiązujący do kolorów złocistych pól pszenicy. Naturalny i delikatny.;#fafad2;250;250;210
Light Gray;Jasnoszary;Neutralny, delikatny odcień szarości, który świetnie sprawdza się jako tło i baza dla bardziej wyrazistych kolorów.;#d3d3d3;211;211;211
Light Green;Jasnozielony;Świeża, pastelowa zieleń, kojarzona z wiosną, nowym życiem i spokojem. Bardzo naturalna i harmonijna.;#90ee90;144;238;144
Light Pink;Jasnoróżowy;Delikatny, pastelowy róż, często kojarzony z niewinnością, romantyzmem i subtelnością.;#ffb6c1;255;182;193
Light Salmon;Jasny Łososiowy;Ciepły, pastelowy różowopomarańczowy odcień, inspirowany kolorem mięsa łososia. Przyjazny i stonowany.;#ffa07a;255;160;122
Light Sea Green;Jasna Morska Zieleń;Chłodny, przyjemny odcień zieleni inspirowany wodami morskimi. Relaksujący i świeży.;#20b2aa;32;178;170
Light Sky Blue;Jasny Błękitny;Pastelowy, jasny niebieski, przypominający czyste niebo w pogodny dzień.;#87cefa;135;206;250
Light Slate Gray;Jasna Łupkowa Szarość;Chłodny, lekko przydymiony odcień szarości, przypominający kamienie. ;#778899;119;136;153
Light Steel Blue;Jasny Stalowy Błękit;Chłodny, lekko metaliczny niebieski odcień, stosowany w industrialnych projektach.;#b0c4de;176;196;222
Light Yellow;Jasnożółty;Pastelowy, ciepły żółty odcień, przywołujący na myśl pierwsze promienie słońca. Przyjazny i optymistyczny.;#ffffe0;255;255;224
Lime;Limonkowy;Jaskrawy, neonowy odcień zieleni przypominający kolor skórki limonki. Bardzo energetyczny i nowoczesny.;#00ff00;0;255;0
Lime Green;Limonkowy Zielony;Soczysty odcień zieleni, nieco ciemniejszy niż neonowy lime.;#32cd32;50;205;50
Linen;Lniany;Bardzo jasny, lekko beżowy odcień bieli, przypominający naturalne włókna lnu. Neutralny i elegancki.;#faf0e6;250;240;230
Magenta;Magenta;Mocny, intensywny różowofioletowy kolor, podstawowy kolor w druku. Kojarzony z kreatywnością i nowoczesnością.;#ff00ff;255;0;255
Maroon;Kasztanowy;Głęboki, ciemnoczerwony odcień z nutą brązu. Kojarzy się z elegancją, powagą i klasyką.;#800000;128;0;0
Medium Aquamarine;Średni Akwamarynowy;Świeży, jasnoniebiesko-zielony kolor, inspirowany barwą tropikalnych wód.;#66cdaa;102;205;170
Medium Blue;Średni Niebieski;Nasycony, ale nieco przygaszony odcień niebieskiego, który kojarzy się z głębią oceanu i spokojnym niebem.;#0000cd;0;0;205
Medium Orchid;Średni Orchideowy;Delikatny, ale intensywny odcień fioletu, inspirowany barwą kwiatów orchidei.;#ba55d3;186;85;211
Medium Purple;Średni Fioletowy;Harmonia ciepłego i chłodnego tonu – średni fiolet, który kojarzy się z kreatywnością i mistycyzmem.;#9370db;147;112;219
Medium Sea Green;Średnia Morska Zieleń;Stonowany odcień zieleni, który przywołuje na myśl roślinność morską,;#3cb371;60;179;113
Medium Slate Blue;Średni Łupkowy Błędkit;Zgaszony, elegancki błękit z nutą fioletu. Kojarzony z subtelną elegancją i spokojem.;#7b68ee;123;104;238
Medium Spring Green;Średni Wiosenny Zielony;Świeży odcień zieleni, przypomina wiosenną przyrodę.;#00fa9a;0;250;154
Medium Turquoise;Średni Turkusowy;Przywołuje na myśl egzotyczne plaże i tropikalne wody.;#48d1cc;72;209;204
Medium Violet Red;Średni Karmazynowy;Intensywny, ciepły kolor, balansujący między czerwienią a fioletem. Kojarzony z pasją i oryginalnością.;#c71585;199;21;133
Midnight Blue;Nocne niebo;Bardzo ciemny, głęboki odcień niebieskiego, przypominający nocne niebo bez gwiazd. Elegancki, tajemniczy i dystyngowany.;#191970;25;25;112
Mint Cream;Miętowy;Bardzo jasny, pastelowy odcień zieleni z domieszką bieli, przypominający miętowe desery. Świeży i delikatny.;#f5fffa;245;255;250
Misty Rose;Różany;Delikatny, pastelowy różowy z lekką domieszką beżu. Kojarzony z romantyzmem i subtelnością.;#ffe4e1;255;228;225
Moccasin;Mokasynowy;Ciepły, beżowo-pomarańczowy odcień, inspirowany kolorem naturalnej skóry. Przytulny i harmonijny.;#ffe4b5;255;228;181
Navajo White;Navajo;Odcień beżu z lekką domieszką żółci, inspirowany tradycyjnymi barwami rdzennej ludności Ameryki.;#ffdead;255;222;173
Navy;Marynarski;Bardzo ciemny odcień niebieskiego, stosowany w mundurach marynarskich.;#000080;0;0;128
Old Lace;Stara koronka;Subtelny, lekko kremowy odcień bieli, który przywołuje na myśl eleganckie, koronkowe tkaniny.;#fdf5e6;253;245;230
Olive;Oliwkowy;Głęboka, ziemista zieleń, przypominająca kolor oliwek. Kojarzona z naturą, spokojem i militarną stylistyką.;#808000;128;128;0
Olive Drab;Oliwkowy Zgaszony;Ciemniejszy i bardziej zgaszony odcień oliwkowej zieleni, używany w odzieży wojskowej.;#6b8e23;107;142;35
Orange;Pomarańczowy;Energetyczny i ciepły kolor, kojarzony z optymizmem, ciepłem i soczystymi owocami.;#ffa500;255;165;0
Orange Red;Czerwono-Pomarańczowy;Intensywny odcień czerwieni z domieszką pomarańczu, przypominający kolor płomienia.;#ff4500;255;69;0
Orchid;Orchideowy;Jasny, nasycony różowofioletowy kolor, inspirowany barwą storczyków. Elegancki i egzotyczny.;#da70d6;218;112;214
Pale Goldenrod;Bladozłocisty;Jasny, zgaszony odcień żółci, który przypomina dojrzałe kłosy zbóż.;#eee8aa;238;232;170
Pale Green;Bladozielony;Delikatna, pastelowa zieleń, przywołująca na myśl młode liście i pierwsze oznaki wiosny.;#98fb98;152;251;152
Pale Turquoise;Blady Turkusowy;Subtelna, pastelowa wersja turkusu, która sprawia wrażenie lekkiej i eterycznej.;#afeeee;175;238;238
Pale Violet Red;Bladoróżowy;Delikatny, zgaszony odcień malinowy z domieszką różu i fioletu.;#db7093;219;112;147
Papaya Whip;Papajowy;Jasny, pastelowy odcień pomarańczu inspirowany dojrzałą papają. Ciepły i przyjemny.;#ffefd5;255;239;213
Peach Puff;Brzoskwiniowy;Delikatny, jasny pomarańczowobeżowy kolor, przypominający brzoskwiniowy miąższ.;#ffdab9;255;218;185
Peru;Peru;Ciepły, ziemisty odcień brązu z nutą pomarańczu, inspirowany naturalnymi barwnikami.;#cd853f;205;133;63
Pink;Różowy;Klasyczny różowy, symbolizujący delikatność, romantyzm i kobiecość.;#ffc0cb;255;192;203
Plum;Śliwkowy;Głęboki, fioletowy kolor, przypominający dojrzałe śliwki. Tajemniczy i elegancki.;#dda0dd;221;260;221
Powder Blue;Pudrowy Błękit;Jasny, delikatny błękit, przypomina spokojne niebo w pogodny dzień.;#b0e0e6;176;224;230
Purple;Fioletowy;Mieszanka czerwieni i niebieskiego, kojarzona z królewskością, luksusem i tajemniczością.;#800080;128;0;128
Red;Czerwony;Intensywny i pełen energii kolor, symbolizujący pasję, siłę i emocje.;#ff0000;255;0;0
Rosy Brown;Różowawy brąz;Ciepły, lekko różowawy odcień brązu, który nadaje przytulności i elegancji.;#bc8f8f;188;143;143
Royal Blue;Królewski Błękit;Intensywny, jasny niebieski stworzony na konkurs na suknię dla królowej Charlotte.;#4169e1;65;105;225
Saddle Brown;Skórzany Brąz;Ciemny, ziemisty odcień brązu, przypominający barwę siodeł skórzanych.;#8b4513;139;69;19
Salmon;Łososiowy;Ciepły, pastelowy różowopomarańczowy odcień, inspirowany kolorem mięsa łososia.;#fa8072;250;128;114
Sandy Brown;Piaskowy Brąz;Ciepły, złocistobrązowy kolor, przywodzący na myśl piaski pustyni.;#f4a460;244;164;96
Sea Green;Morska Zieleń;Głęboki, niebieskawozielony odcień, inspirowany barwą oceanicznych wód.;#2e8b57;46;139;87
Seashell;Muszelkowy;Bardzo jasny, kremowy odcień z delikatnym różowym podtonem, przypominający wnętrze morskiej muszli.;#fff5ee;255;245;238
Sienna;Sjena;Ciepły, ziemisty odcień brązu z czerwonawymi tonami. Jest to kolor surowej, wysuszonej gliny.;#a0522d;160;82;45
Silver;Srebrny;Chłodny, metaliczny szary kolor, który nawiązuje do połyskującego metalu. Symbolizuje elegancję i technologię.;#c0c0c0;192;192;192
Sky Blue;Błękit;Świeży, jasny odcień błękitu, który przypomina letnie, bezchmurne niebo.;#87ceeb;135;206;235
Slate Blue;Łupkowy Błękit;Stonowany, lekko fioletowawy odcień niebieskiego, przypominający kolor naturalnego kamienia łupkowego.;#6a5acd;106;90;205
Slate Gray;Łupkowa Szarość;Kojarzy się z kamieniami i betonowymi powierzchniami.;#708090;112;128;144
Snow;Śnieżny;Czysta, chłodna biel z lekkim niebieskawym odcieniem, przypominająca świeżo opadły śnieg.;#fffafa;255;250;250
Spring Green;Wiosenny Zielony;Jasny, soczysty odcień zieleni, nawiązujący do pierwszych liści pojawiających się na drzewach wiosną.;#00ff7f;0;255;127
Steel Blue;Stalowy Niebieski;Głęboki, chłodny odcień niebieskiego z lekką szarością. Kojarzy się z metalem i technologią.;#4682b4;70;130;180
Tan;Brąz;Ciepły, piaskowy odcień brązu, przypominający skórę opaloną słońcem. Jest to naturalny i neutralny kolor.;#d2b48c;210;180;140
Teal;Morski Błękit;Kolor pośredni między zielonym a niebieskim, przypominający odcień tropikalnych mórz. Spokojny, ale jednocześnie wyrazisty.;#008080;0;128;128
Thistle;Ostowy;Bardzo jasny, pastelowy odcień fioletu, inspirowany kolorem kwiatów ostu.;#d8bfd8;216;191;216
Tomato;Pomidorowy;Żywy, czerwonopomarańczowy kolor, który przypomina dojrzałe pomidory. Pełen energii i ciepła.;#ff6347;255;99;71
Turquoise;Turkusowy;Kolor łączący w sobie intensywną zieleń i błękit, inspirowany kamieniem szlachetnym o tej samej nazwie.;#40e0d0;64;224;208
Violet;Fiołkowy;Nasycony odcień fioletu, będący mieszanką czerwieni i błękitu. ;#ee82ee;238;130;238
Wheat;Pszeniczny;Ciepły, złocistobeżowy odcień, przypominający dojrzałe kłosy pszenicy.;#f5deb3;245;222;179
White;Biały;Najjaśniejszy z kolorów, kojarzony z czystością, prostotą i minimalizmem.;#ffffff;255;255;255
White Smoke;Biała Mgła;Bardzo jasny, lekko szarawy odcień bieli, przypominający dym unoszący się nad powierzchnią ziemi.;#f5f5f5;245;245;245
Yellow;Żółty;Ciepły, słoneczny kolor, symbolizujący radość, optymizm i energię. Stosowany w ostrzegawczych znakach drogowych.;#ffff00;255;255;0
Yellow Green;Żółtozielony;Połączenie żółtego i zielonego, które przywodzi na myśl młode listki i roślinność budzącą się do życia na wiosnę.;#9acd32;154;205;50
